,variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,BB,FLOW,VER,MAT,review
3220,Chasselas,585,585Mtp72,NA,1982,NA,NA,15/7/82,NA,NA,NA,15/7/1982,NA,NA
3221,Chasselas,585,585Mtp72,NA,1983,29/3/83,NA,29/7/83,NA,29/3/1983,NA,29/7/1983,NA,NA
3222,Chasselas,585,585Mtp72,NA,1986,28/3/86,NA,NA,NA,28/3/1986,NA,NA,NA,NA
3223,Chasselas,585,585Mtp72,NA,1987,NA,7/6/87,26/7/87,17/8/87,NA,7/6/87,26/7/1987,17/8/1987,NA
3224,Chasselas,585,585Mtp72,NA,1988,30/3/88,1/6/88,24/7/88,16/8/88,30/3/1988,1/6/88,24/7/1988,16/8/1988,NA
3225,Chasselas,585,585Mtp73,NA,1965,27/3/65,NA,NA,5/8/65,27/3/1965,NA,NA,5/8/65,NA
3226,Chasselas,585,585Mtp73,NA,1966,14/3/66,NA,NA,10/8/66,14/3/1966,NA,NA,10/8/66,NA
3227,Chasselas,585,585Mtp73,NA,1967,13/3/67,NA,NA,17/8/67,13/3/1967,NA,NA,17/8/1967,NA
3228,Chasselas,585,585Mtp73,NA,1968,25/3/68,NA,NA,12/8/68,25/3/1968,NA,NA,12/8/68,NA
3229,Chasselas,585,585Mtp73,NA,1969,25/3/69,NA,NA,19/8/69,25/3/1969,NA,NA,19/8/1969,NA
3230,Chasselas,585,585Mtp73,NA,1972,NA,NA,NA,17/8/72,NA,NA,NA,17/8/1972,NA
3231,Chasselas,585,585Mtp74,NA,1964,22/3/64,NA,NA,11/8/64,22/3/1964,NA,NA,11/8/64,NA
3232,Chasselas,585,585Mtp74,NA,1965,27/3/65,NA,NA,5/8/65,27/3/1965,NA,NA,5/8/65,NA
3233,Chasselas,585,585Mtp74,NA,1966,12/3/66,NA,NA,10/8/66,12/3/66,NA,NA,10/8/66,NA
3234,Chasselas,585,585Mtp74,NA,1967,13/3/67,NA,NA,NA,13/3/1967,NA,NA,NA,NA
3235,Chasselas,585,585Mtp74,NA,1968,27/3/68,NA,NA,12/8/68,27/3/1968,NA,NA,12/8/68,NA
3236,Chasselas,585,585Mtp74,NA,1969,25/3/69,NA,NA,19/8/69,25/3/1969,NA,NA,19/8/1969,NA
3237,Chasselas,585,585Mtp74,NA,1972,NA,NA,NA,21/8/72,NA,NA,NA,21/8/1972,NA
3238,Chasselas,585,585Mtp75,NA,1964,23/3/64,NA,NA,4/8/64,23/3/1964,NA,NA,4/8/64,NA
3239,Chasselas,585,585Mtp75,NA,1965,27/3/65,NA,NA,12/8/65,27/3/1965,NA,NA,12/8/65,NA
3240,Chasselas,585,585Mtp75,NA,1966,10/3/66,NA,NA,10/8/66,10/3/66,NA,NA,10/8/66,NA
3241,Chasselas,585,585Mtp75,NA,1967,10/3/67,NA,NA,NA,10/3/67,NA,NA,NA,NA
3242,Chasselas,585,585Mtp75,NA,1968,25/3/68,NA,NA,NA,25/3/1968,NA,NA,NA,NA
3243,Chasselas,585,585Mtp75,NA,1969,25/3/69,NA,NA,26/8/69,25/3/1969,NA,NA,26/8/1969,NA
3244,Chasselas,585,585Mtp75,NA,1970,28/3/70,NA,NA,NA,28/3/1970,NA,NA,NA,NA
3245,Chasselas,585,585Mtp75,NA,1971,29/3/71,NA,NA,NA,29/3/1971,NA,NA,NA,NA
3246,Chasselas,585,585Mtp75,NA,1972,18/3/72,NA,NA,17/8/72,18/3/1972,NA,NA,17/8/1972,NA
3247,Chasselas,585,585Mtp75,NA,1973,28/3/73,NA,NA,NA,28/3/1973,NA,NA,NA,NA
3248,Chasselas,585,585Mtp75,NA,1974,22/3/74,NA,NA,NA,22/3/1974,NA,NA,NA,NA
3249,Chasselas,585,585Mtp75,NA,1976,15/3/76,NA,NA,NA,15/3/1976,NA,NA,NA,NA
3250,Chasselas,585,585Mtp75,NA,1978,11/3/78,NA,NA,NA,11/3/78,NA,NA,NA,NA
3251,Chasselas,585,585Mtp75,NA,1979,17/3/79,NA,23/7/79,NA,17/3/1979,NA,23/7/1979,NA,NA
3252,Chasselas,585,585Mtp75,NA,1980,20/3/80,NA,1/8/80,NA,20/3/1980,NA,1/8/80,NA,NA
3253,Chasselas,585,585Mtp75,NA,1981,24/3/81,NA,24/7/81,NA,24/3/1981,NA,24/7/1981,NA,NA
3254,Chasselas,585,585Mtp75,NA,1982,18/3/82,NA,15/7/82,NA,18/3/1982,NA,15/7/1982,NA,NA
3255,Chasselas,585,585Mtp75,NA,1983,25/3/83,NA,NA,NA,25/3/1983,NA,NA,NA,NA
3256,Chasselas,585,585Mtp75,NA,1985,31/3/85,NA,NA,NA,31/3/1985,NA,NA,NA,NA
3257,Chasselas,585,585Mtp75,NA,1986,26/3/86,NA,NA,NA,26/3/1986,NA,NA,NA,NA
3258,Chasselas,585,585Mtp75,NA,1988,25/3/88,31/5/88,22/7/88,16/8/88,25/3/1988,31/5/1988,22/7/1988,16/8/1988,NA
3259,Chasselas,585,585Mtp75,NA,1995,NA,29/5/95,NA,NA,NA,29/5/1995,NA,NA,NA
3260,Chasselas,585,585Mtp75,NA,2000,15/3/00,NA,NA,NA,15/3/2000,NA,NA,NA,NA
3261,Chasselas,585,585Mtp76,NA,1964,NA,NA,NA,4/8/64,NA,NA,NA,4/8/64,NA
3262,Chasselas,585,585Mtp76,NA,1965,27/3/65,NA,NA,12/8/65,27/3/1965,NA,NA,12/8/65,NA
3263,Chasselas,585,585Mtp76,NA,1966,7/3/66,NA,NA,10/8/66,7/3/66,NA,NA,10/8/66,NA
3264,Chasselas,585,585Mtp76,NA,1967,15/3/67,NA,NA,NA,15/3/1967,NA,NA,NA,NA
